,店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
0,47都道府県の厳選食材 全席個室 夜景居酒屋 雅邸 品川,050-5487-8053,,東京都,港区,港南2-2-1,ミナトビル6F,,
1,仙台牛タンと京風出汁おでん タンの利久 新橋店,050-5488-0826,,東京都,港区,新橋3-14-5,S'TEC3 6F,,
2,個室・くつろぎ うま酒 かこいや 丸の内オアゾ店,050-5485-9421,,東京都,千代田区,丸の内1-6-2,新丸の内センタービル3F,,
3,創作酒庵 彩蔵 池袋,050-5484-5171,,東京都,豊島区,東池袋1-29-1,8F,,
4,結月庵 大崎ThinkParkTower店,050-5484-8517,,東京都,品川区,大崎2-1-1,ThinkPark 1F,,
5,全席個室 湊一や 日本橋八重洲店,050-5485-4716,,東京都,中央区,日本橋2-3-4,日本橋プラザビル2F,,
6,MARUNOUCHI BASE（丸の内ベース） ダイニング,050-5488-7972,,東京都,千代田区,丸の内1-3-4,丸の内テラス1F,,
7,全席個室 夢や京町しずく 八重洲店,050-5484-6120,,東京都,中央区,日本橋3-2-17,日本橋三丁目ビル2F,,
8,串焼きと野菜巻き 個室居酒屋 串や三ぞう 有楽町店,050-5492-3576,,東京都,千代田区,有楽町2-3-6,九重会館4F,,
9,旬鮮魚と国産地鶏 全席個室 地鶏の里 鶏極－とりき－ 新橋店,050-5485-2060,,東京都,港区,新橋3-16-3,7F,,
10,どさんこ酒場 森町しげぞう 八重洲口店,050-5485-8505,,東京都,中央区,八重洲1-4-16,東京建物八重洲ビルB2,,
11,焼鳥＆海鮮＆日本酒 全席扉付き個室 華の粋別邸 新橋店,050-5488-2127,,東京都,港区,新橋3-6-1,碧山ビル3F,,
12,デリリウムカフェ トーキョー,050-5484-1984,,東京都,千代田区,霞ヶ関3-2-6,東京倶楽部ビル1F,,
13,菜な 日本橋 コレド室町店,050-5485-1225,,東京都,中央区,日本橋室町2-2-1,コレド室町3F,,
14,日本酒バル 蔵のや 新橋本店,050-5489-4501,,東京都,港区,新橋3-18-7,桃山ビル3F-B,,
15,サカナズキ。,050-5484-1316,,東京都,渋谷区,恵比寿南3-2-16,1F,,
16,過門香 赤坂溜池山王店,050-5485-1941,,東京都,港区,赤坂2-11-7,ＡＴＴ ＥＡＳＴ 1F,,
17,鮨・酒・肴 杉玉 豊田,050-5485-7086,,東京都,日野市,多摩平1-2-1,第一ビル1F,,
18,北千住 千寿籠太,050-5486-3598,,東京都,足立区,千住旭町41-4,,,
19,北の味紀行と地酒　北海道 目黒西口店,050-5484-5874,,東京都,品川区,上大崎2-27-1,サンフェリスタ目黒4F,,
20,個室 隠れ家ダイニング まいた 渋谷本店,050-5494-6554,,東京都,渋谷区,渋谷2-19-17,第106東京ビル9F,,
21,全席個室隠れ家ダイニング つばき 新宿本店,050-5484-9722,,東京都,新宿区,歌舞伎町1-23-13,3F,,
22,御徒町 ワインバル 八十郎,050-5492-1452,,東京都,台東区,上野3-22-3,ジイドビル1F,,
23,魚沼釜飯と新潟郷土料理 つみき 神楽坂,050-5486-1861,,東京都,新宿区,神楽坂4-3,楽山ビル3F,,
24,創業1980年 品川大衆バル cham（チャム）,050-5486-5162,,東京都,港区,港南2-6-7,品川ビル1F,,
25,北の味紀行と地酒　北海道 カレッタ汐留店,050-5484-9011,,東京都,港区,東新橋1-8-2,カレッタ汐留46F,,
26,寿司・焼鳥・酒肴 すしの和 錦糸町南口駅前店,050-5492-6614,,東京都,墨田区,江東橋3-12-8,O・T・Kビル2F,,
27,鳥光國 錦糸町北口店,050-5485-8637,,東京都,墨田区,錦糸2-4-10,ナカズビル2・3F,,
28,だるまさん1丁目,050-5484-7430,,東京都,渋谷区,恵比寿1-12-5,安島ビル2F,,
29,全席個室 楽蔵うたげ 恵比寿東口駅前店,050-5484-8735,,東京都,渋谷区,恵比寿1-11-1,DK恵比寿ビル3F,,
30,47都道府県の厳選食材 全席個室 夜景居酒屋 雅邸 品川,050-5487-8053,,東京都,港区,港南2-2-1,ミナトビル6F,,
31,仙台牛タンと京風出汁おでん タンの利久 新橋店,050-5488-0826,,東京都,港区,新橋3-14-5,S'TEC3 6F,,
32,個室・くつろぎ うま酒 かこいや 丸の内オアゾ店,050-5485-9421,,東京都,千代田区,丸の内1-6-2,新丸の内センタービル3F,,
33,創作酒庵 彩蔵 池袋,050-5484-5171,,東京都,豊島区,東池袋1-29-1,8F,,
34,結月庵 大崎ThinkParkTower店,050-5484-8517,,東京都,品川区,大崎2-1-1,ThinkPark 1F,,
35,全席個室 湊一や 日本橋八重洲店,050-5485-4716,,東京都,中央区,日本橋2-3-4,日本橋プラザビル2F,,
36,MARUNOUCHI BASE（丸の内ベース） ダイニング,050-5488-7972,,東京都,千代田区,丸の内1-3-4,丸の内テラス1F,,
37,全席個室 夢や京町しずく 八重洲店,050-5484-6120,,東京都,中央区,日本橋3-2-17,日本橋三丁目ビル2F,,
38,串焼きと野菜巻き 個室居酒屋 串や三ぞう 有楽町店,050-5492-3576,,東京都,千代田区,有楽町2-3-6,九重会館4F,,
39,旬鮮魚と国産地鶏 全席個室 地鶏の里 鶏極－とりき－ 新橋店,050-5485-2060,,東京都,港区,新橋3-16-3,7F,,
40,どさんこ酒場 森町しげぞう 八重洲口店,050-5485-8505,,東京都,中央区,八重洲1-4-16,東京建物八重洲ビルB2,,
41,焼鳥＆海鮮＆日本酒 全席扉付き個室 華の粋別邸 新橋店,050-5488-2127,,東京都,港区,新橋3-6-1,碧山ビル3F,,
42,デリリウムカフェ トーキョー,050-5484-1984,,東京都,千代田区,霞ヶ関3-2-6,東京倶楽部ビル1F,,
43,菜な 日本橋 コレド室町店,050-5485-1225,,東京都,中央区,日本橋室町2-2-1,コレド室町3F,,
44,日本酒バル 蔵のや 新橋本店,050-5489-4501,,東京都,港区,新橋3-18-7,桃山ビル3F-B,,
45,サカナズキ。,050-5484-1316,,東京都,渋谷区,恵比寿南3-2-16,1F,,
46,過門香 赤坂溜池山王店,050-5485-1941,,東京都,港区,赤坂2-11-7,ＡＴＴ ＥＡＳＴ 1F,,
47,鮨・酒・肴 杉玉 豊田,050-5485-7086,,東京都,日野市,多摩平1-2-1,第一ビル1F,,
48,北千住 千寿籠太,050-5486-3598,,東京都,足立区,千住旭町41-4,,,
49,北の味紀行と地酒　北海道 目黒西口店,050-5484-5874,,東京都,品川区,上大崎2-27-1,サンフェリスタ目黒4F,,
